voyageid,yearam,rig,shipname,captaina,slaximp,mjselimp,tslavesd,arrport,sla1port,slaarriv,sladvoy,vymrtimp,vymrtrat,slamimp,fate,fate2,fate3,fate4,sladamer,adpsale1,adpsale2,captainb,placcons,placreg,yrcons,yrreg,regarr,regdis1,regdis2,regdis3,regem1,regem2,regisreg,constreg,portdep,datedepa,datedepb,datedepc,crew,crew2,crew3,d1slatra,d1slatrb,d1slatrc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,date_buy1,date_leftafr,date_land1,date_land2,date_land3,dlslatra,dlslatrb,dlslatrc,voyage,voy2imp,guns,majbuypt,mjbyptimp,majbyimp,majbyimp1,majselpt,mjslptimp,mjselimp1,national,natinimp,ncar13,ncar15,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,resistance,slas32,slas36,slas39,sourcea,sourceb,sourcec,sourced,sourcee,tonnage,men1,women1,boy1,girl1,infant1,adult1,child1,male1,female1,adlt1imp,chil1imp,male1imp,feml1imp,slavema1,slavemx1,slavmax1,menrat1,womrat1,boyrat1,girlrat1,malrat1,chilrat1,men3,women3,boy3,girl3,infant3,adult3,child3,male3,female3,adlt3imp,chil3imp,male3imp,feml3imp,slavema3,slavemx3,slavmax3,menrat3,womrat3,boyrat3,girlrat3,malrat3,chilrat3,men7,women7,boy7,girl7,infant7,adult7,child7,male7,female7,slavema7,slavemx7,slavmax7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,year5,year10,year25,year100,voyageID2,AFRINFO,Other_Cargo,COMMENTS,filter_$
100003,1717, , ,Cumberlege [?],17,Cuba, , ,Santiago de Cuba,16, , , ,16,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Cuba, , ,Jamaica, , , , , , , , , , , , , , , ,1717, , , , , , , , , , , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Santiago de Cuba,Santiago de Cuba,Caribbean,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , , , , ,"Donnan,II,222","Add.ms 25563, p.165", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1716-20,years 1711-20,years 1701-25,1700, , , , ,Selected
100012,1730,Brigantine,John,"Bissett, Andrew",16,Cuba, , ,Havana,15, , , ,15,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Cuba, , ,Jamaica, , , , , , , , , , , , , ,16,7,1730, , , , , , , , ,7/16/1730, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Havana,Havana,Caribbean,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , ,15, , ,"Donnan,II,442","AGI, Contaduria 268","Sorsby, 382", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1726-30,years 1721-30,years 1726-50,1700, , , , ,Selected
100013,1730,Paquete,Prince of Asturias,"Blackburne, William",150,Cuba, , ,Havana,147, , , ,147,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Cuba, , ,Jamaica, , , , , , , , , , , , , ,10,11,1730, , , , , , , , ,11/10/1730, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Havana,Havana,Caribbean,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , ,147, , ,"Donnan,II,442","AGI, Contaduria 268","Sorsby, 382", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1726-30,years 1721-30,years 1726-50,1700, , , , ,Selected
100016,1731,Brigantine,John,"Bissett, Andrew",11,Cuba, , ,Havana,10, , , ,10,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Cuba, , ,Jamaica, , , , , , , , , , , , , ,4,4,1731, , , , , , , , ,4/4/1731, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Havana,Havana,Caribbean,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , ,10, , ,"Donnan,II,442","AGI, Contaduria 268","Sorsby, 382", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1731-35,years 1731-40,years 1726-50,1700, , , , ,Selected
100020,1731,Sloop,Adventure (a) Venture,"Kearney, Peter",62,Cuba, , ,Havana,60, , , ,60,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Cuba, , ,Jamaica, , , , , , , , , , , , , ,8,8,1731, , , , , , , , ,8/8/1731, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Havana,Havana,Caribbean,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , ,60, , ,"AGI, Contaduria 268","Donnan,II,443","Sorsby, 382", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1731-35,years 1731-40,years 1726-50,1700, , , , ,Selected
100023,1731,Sloop,Adventure (a) Venture,"Kearney, Peter",31,Cuba, , ,Havana,30, , , ,30,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Cuba, , ,Jamaica, , , , , , , , , , , , , ,12,12,1731, , , , , , , , ,12/12/1731, , , , , , , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Havana,Havana,Caribbean,Great Britain,Great Britain, , , ,South Sea Company, , , , , , , , ,30, , ,"AGI, Contaduria 268","Donnan,II,443","Sorsby, 383", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1731-35,years 1731-40,years 1726-50,1700, , , ,Donnan dates arrival Dec. 1 and slaarriv 32,Selected
100027,1706,Sloop,Rebecca,"Pitts, John",8,Massachusetts, , ,Boston, , , , ,7,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,Massachusetts, , ,Jamaica, , , , , , , , , , , , , , ,10,1706, , , , , , , , , , , , , ,1706, , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,Boston,Boston,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,"Donnan,III,23", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1706-10,years 1701-10,years 1701-25,1700, , , , ,Selected
100031,1652,Ship,Saint Anthoni,"Peres, Silvester",44,New York,44,Santiago de Cuba,New York,44,0,0,0,44,Captured by pirates or privateers - after disembarkation,Slaves disembarked Americas,pirate/privateer action,Original goal thwarted (human agency), , , , , , , , ,Cuba,New York, , ,Jamaica, , , , , , , , , , , , , , , ,1652, , , , , , , , , , , , ,4,1652, , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New York,New York,Mainland North America,Spain,Spain / Uruguay, , , ,"Gaillardo Ferrara, Joan", , , , , , , , , ,0, ,"Donnan,III,416","Goodfriend, 129","O'Callaghan,Voyages, II, 23-46", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1651-55,years 1651-60,years 1651-75,1600, , ,"""other merchandise""","captured by Dutch or French privateer, at the ""latitude of Cape Morante""",Selected
100035,1711,Sloop,Berry,"Scott, Walter",48,New York,48,New York, , , , , ,46,Captured by pirates or privateers - after disembarkation,Slaves disembarked Americas,pirate/privateer action,Original goal thwarted (human agency), , , , , , , , ,New York, , , ,Jamaica, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1711, , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean, ,New York,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,"Donnan,III,444,n.3", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1711-15,years 1711-20,years 1701-25,1700, , , ,"Donnan cites Boston News Letter, 1/14/1712",Selected
100036,1714,Sloop, ,"Vial, Nathaniel",92,New York, , ,New York,90, , , ,90,Sold slaves in Americas - subsequent fate unknown,Slaves disembarked Americas,Not captured,Delivered slaves for original owners, , , , , , , , , ,New York, , ,Jamaica, , , , , , , , , , , , , ,16,8,1714, , , , , , , , ,8/16/1714, , , , ,1714, , , ,"Jamaica, port unspecified","Jamaica, port unspecified",Jamaica,Caribbean,New York,New York,Mainland North America, ,Great Britain, , , , , , , , , , , , , , , ,"Donnan,III,444,n.4", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,years 1711-15,years 1711-20,years 1701-25,1700, , , , ,Selected
